Ecran,#Feature,#Scenario,Scenario ID,Category,Name/Rule,Extra comment,Platform,Biz Value,Criticity,Estim Dev iOS,Estim Dev Android,Screen iOS,Screen Android,Redmine URL iOS,Version iOS,Status iOS,Estimate iOS,Time spent iOS,% Completed iOS,Priority iOS,Redmine URL Android,Version Android,Status Android,Estimate Android,Time spent Android,% Completed Android,Priority Android
0 - Ecran 1,,,,,,,,,,,`,,,,,,,,,,,,,,,,
,0.4,,,,Configuration,,All,A,,6,,,,,,,,,,,,,,,,,
,,0.4.1,default-configuration,,Apply default configuration,,Android only,A,,,,,,,,,,,,,,,,,,,
,,,,Condition,Provide no configuration,,,,,,,,,,,,,,,,,,,,,,
,,,,Action,Configure the library,,,,,,,,,,,,,,,,,,,,,,
,,,,Traitement,Get the default configuration,,,,,,,,,,,,,,,,,,,,,,
,,0.4.2,local-configuration,,Apply local configuration,,iOS only,B,,,,,,,,,,,,,,,,,,,
,,,,Condition,Provide configuration,,,,,,,,,,,,,,,,,,,,,,
,,,,Action,configure the library,,,,,,,,,,,,,,,,,,,,,,
,,,,Traitement,Get the local configuration,,,,,,,,,,,,,,,,,,,,,,
