Ecran,#Feature,#Scenario,Scenario ID,Category,Name/Rule,Extra comment,Platform,Biz Value,Criticity,Estim Dev iOS,Estim Dev Android,Screen iOS,Screen Android,Redmine URL iOS,Version iOS,Status iOS,Estimate iOS,Time spent iOS,% Completed iOS,Priority iOS,Redmine URL Android,Version Android,Status Android,Estimate Android,Time spent Android,% Completed Android,Priority Android
0 - Ecran 1,,,,,,,,,,,`,,,,,,,,,,,,,,,,
,0.2,,,,Parse CSV specifications,,All,A,,6,,,,,,,,,,,,,,,,,
,,0.2.1,single-csv-file,,Get scenarios from a single specification file,,Android only,A,,,,,,,,,,,,,,,,,,,
,,,,Condition,the configuration indicates a path to a csv file with a header matching the configuration,,,,,,,,,,,,,,,,,,,,,,
,,,,Action,parsing the file,,,,,,,,,,,,,,,,,,,,,,
,,,,Traitement,return the scenarios matching the regexp from the file,,,,,,,,,,,,,,,,,,,,,,
,,0.2.2,multiple-csv-files,,Get scenarios from multiple specification files,,iOS only,B,,,,,,,,,,,,,,,,,,,
,,,,Condition,the configuration indicates a path to folder containing multiple a csv files with a header matching the configuration,,,,,,,,,,,,,,,,,,,,,,
,,,,Action,parsing the files,,,,,,,,,,,,,,,,,,,,,,
,,,,Traitement,return the scenarios matching the regexp from all the files,,,,,,,,,,,,,,,,,,,,,,
,0.3,,,,Parse Gherkin specifications,,All,B,,5,,,,,,,,,,,,,,,,,
,,0.3.1,single-gherkin-file,,Get scenarios from a single specification file,,Android only,C,,,,,,,,,,,,,,,,,,,
,,,,Condition,the configuration indicates a path to a csv file with a header matching the configuration,,,,,,,,,,,,,,,,,,,,,,
,,,,Action,parsing the file,,,,,,,,,,,,,,,,,,,,,,
,,,,Traitement,return the scenarios matching the regexp from the file,,,,,,,,,,,,,,,,,,,,,,
,,0.3.2,multiple-gherkin-files,,Get scenarios from multiple specification files,,iOS only,B,,,,,,,,,,,,,,,,,,,
,,,,Condition,the configuration indicates a path to folder containing multiple a csv files with a header matching the configuration,,,,,,,,,,,,,,,,,,,,,,
,,,,Action,parsing the files,,,,,,,,,,,,,,,,,,,,,,
,,,,Traitement,return the scenarios matching the regexp from all the files,,,,,,,,,,,,,,,,,,,,,,
